220;200;1456;" 14,99"
330;200;1456;" 23,13"
440;200;1456;" 31,10"
550;200;1456;" 39,24"
660;200;1456;" 46,97"
770;200;1456;" 55,09"
880;200;1456;" 62,75"
990;200;1456;" 70,79"
1100;200;1456;" 78,65"
1210;200;1456;" 86,57"
1320;200;1456;" 94,25"
;;;
20;20000;1996;"  0,74"
130;20000;1996;"  6,08"
240;20000;1996;"  9,23"
350;20000;1996;" 13,27"
460;20000;1996;" 17,63"
570;20000;1996;" 22,75"
680;20000;1996;" 28,15"
790;20000;1996;" 34,04"
900;20000;1996;" 40,02"
1010;20000;1996;" 46,49"
1120;20000;1996;" 52,82"
1230;20000;1996;" 59,51"
1340;20000;1996;" 66,15"
1450;20000;1996;" 73,03"
1560;20000;1996;" 79,74"
1670;20000;1996;" 86,31"
1780;20000;1996;" 93,17"
1890;20000;1996;" 99,88"
2010;20000;1996;"100,00"
;;;
50;40000;2542;"  3,51"
160;40000;2542;"  9,72"
270;40000;2542;" 12,19"
380;40000;2542;" 14,88"
490;40000;2542;" 18,03"
600;40000;2542;" 21,27"
710;40000;2542;" 25,05"
820;40000;2542;" 28,98"
930;40000;2542;" 33,41"
1040;40000;2542;" 37,92"
1150;40000;2542;" 42,82"
1260;40000;2542;" 47,69"
1370;40000;2542;" 52,58"
1480;40000;2542;" 58,06"
1590;40000;2542;" 63,51"
1700;40000;2542;" 69,35"
1810;40000;2542;" 75,05"
1920;40000;2542;" 81,13"
2030;40000;2542;" 87,11"
2140;40000;2542;" 93,37"
2250;40000;2542;" 99,50"
2550;40000;2542;"100,00"
;;;
0;60000;3087;"  0,00"
110;60000;3087;"  8,58"
230;60000;3087;" 14,54"
340;60000;3087;" 16,77"
450;60000;3087;" 19,17"
560;60000;3087;" 21,86"
670;60000;3087;" 24,70"
780;60000;3087;" 27,85"
890;60000;3087;" 30,90"
1000;60000;3087;" 34,44"
1110;60000;3087;" 38,02"
1220;60000;3087;" 42,00"
1330;60000;3087;" 45,95"
1440;60000;3087;" 50,21"
1550;60000;3087;" 54,53"
1660;60000;3087;" 59,01"
1770;60000;3087;" 63,86"
1880;60000;3087;" 68,56"
1990;60000;3087;" 73,23"
2100;60000;3087;" 78,37"
2210;60000;3087;" 83,53"
2320;60000;3087;" 88,96"
2430;60000;3087;" 94,27"
2540;60000;3087;" 99,91"
3030;60000;3087;"100,00"
;;;
0;200;1456;"  0,01"
110;200;1456;"  7,35"
220;200;1456;" 15,06"
330;200;1456;" 23,13"
440;200;1456;" 30,88"
550;200;1456;" 38,78"
660;200;1456;" 46,17"
770;200;1456;" 53,90"
880;200;1456;" 62,00"
990;200;1456;" 69,63"
1100;200;1456;" 77,60"
1210;200;1456;" 85,36"
1320;200;1456;" 93,40"
;;;
20;20000;1996;"  0,43"
130;20000;1996;"  5,86"
240;20000;1996;"  8,88"
350;20000;1996;" 12,91"
460;20000;1996;" 17,22"
570;20000;1996;" 22,28"
680;20000;1996;" 27,66"
790;20000;1996;" 33,36"
900;20000;1996;" 39,49"
1010;20000;1996;" 45,57"
1120;20000;1996;" 52,02"
1230;20000;1996;" 58,46"
1340;20000;1996;" 64,69"
